EFP1	EFP2	EFP3	EFP4	EK1	EK2	EK3	EK4	EHH1	EHH2	EHH3	EHH4	BM1	BM2	BM3	BM4	GS1	GS2	GS3	GS4	GN1
EHH3	0.820181558726032	0.782956650596171	0.741319788908586	0.781373976758765	0.903438095840673	0.906425440683358	0.916077612007657	0.927628650742617	0.594314702264467	0.521925316639698	0	0.600402967714116	0.999282544307029	0.999702012790983	0.999610785262533	0.997441192351517	0.999545059763828	0.999412851067934	0.99931118647819	0.999180226947458	0.999530840820965
EHH4	0.794006644400593	0.737310734016018	0.702071261018803	0.740839543820585	0.874341166592217	0.875255981104532	0.893744273979609	0.912390922498066	0.561638751064689	0.555553825580683	0.600402967714116	0	0.999260694301508	0.999735965127865	0.999686004987583	0.999313953695134	0.999604101677994	0.99929261797696	0.999183774050939	0.999123870803084	0.999606166531838
BM1	0.998898248257967	0.998896685252177	0.998885106888718	0.999080784650716	0.999106723614294	0.999123207422998	0.999094668402687	0.999236331518905	0.999063366776072	0.9992201368768	0.999282544307029	0.999260694301508	0	0.679103739650618	0.535949630241657	0.696776266543317	0.979632660931363	0.982936877144273	0.981206042401626	0.982226352604721	0.999951879463895
BM2	0.999360419640175	0.999402362421211	0.999391851298811	0.999478074784665	0.999599610796042	0.999568934121795	0.999593835339673	0.999556180009116	0.999427041361431	0.999688681854502	0.999702012790983	0.999735965127865	0.679103739650618	0	0.832284009502363	0.866693853342186	0.959998748734108	0.964134358896491	0.965854051332449	0.96712671146438	0.999909498366611
BM3	0.999335265436556	0.999371107204302	0.999290306617043	0.999356908145668	0.999095977604957	0.999092563441945	0.999043239497681	0.999098300809376	0.999415773800869	0.999597036969193	0.999610785262533	0.999686004987583	0.535949630241657	0.832284009502363	0	0.668737698949072	0.975884464099625	0.98004451152083	0.979156493622249	0.979362697968745	0.999933197279782
BM4	0.999372066636574	0.999269330476975	0.999311505961471	0.999354260950013	0.998958304287005	0.998888131695664	0.998788051151884	0.998955755374302	0.99944047672902	0.999542185173019	0.997441192351517	0.999313953695134	0.696776266543317	0.866693853342186	0.668737698949072	0	0.969798803189427	0.970095449216046	0.971319777015053	0.974042493933387	0.999556675982414
GS1	0.999520631396299	0.99913027278251	0.999144414302665	0.999323717024611	0.999357487473011	0.999352051170403	0.999400753933988	0.999468791316568	0.998776787415024	0.999557093621092	0.999545059763828	0.999604101677994	0.979632660931363	0.959998748734108	0.975884464099625	0.969798803189427	0	0.770980143958954	0.771352610465011	0.790808214323235	0.999869629402976
GS2	0.999246264173979	0.998819600030428	0.998619369442104	0.999144178220997	0.999274330256118	0.999296370604052	0.999283600223474	0.999366697770955	0.997752739765224	0.999230148254347	0.999412851067934	0.99929261797696	0.982936877144273	0.964134358896491	0.98004451152083	0.970095449216046	0.770980143958954	0	0.636190237088526	0.683690604116983	0.999952988356762
GS3	0.99894818666195	0.998955538789047	0.998395438385205	0.999287657418517	0.998735981228561	0.998701589338181	0.998691629992062	0.999247484222501	0.998702182356311	0.999049365849943	0.99931118647819	0.999183774050939	0.981206042401626	0.965854051332449	0.979156493622249	0.971319777015053	0.771352610465011	0.636190237088526	0	0.64895215531105	0.999971436740588
GS4	0.998911666262426	0.998965759594288	0.99853058290753	0.999290733592668	0.99877543449122	0.998651070686252	0.998698497947732	0.999210807282892	0.998807058450738	0.998917505541012	0.999180226947458	0.999123870803084	0.982226352604721	0.96712671146438	0.979362697968745	0.974042493933387	0.790808214323235	0.683690604116983	0.64895215531105	0	0.99995981753801
GN1	0.999950552979412	0.999842733034594	0.999927040267721	0.999923594625605	0.999801385958785	0.999889086978081	0.999885514046802	0.999688681729424	0.999870426802763	0.999879090844292	0.999530840820965	0.999606166531838	0.999951879463895	0.999909498366611	0.999933197279782	0.999556675982414	0.999869629402976	0.999952988356762	0.999971436740588	0.99995981753801	0
