clade_name	EFP1	EFP2	EFP3	EFP4	EK1	EK2	EK3	EK4	EHH1	EHH2	EHH3	EHH4	BM1	BM2	BM3	BM4	GS1	GS2	GS3	GS4	GN1
GGB58216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17424	0.20614	0.20469	0.28081	0.0	0.0	0.0	0.0	0.0
GGB140922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17378	1.28182	0.17774	1.07758	0.0	0.0	0.0	0.0	0.0
GGB82825	0.64383	2.0547	2.02143	4.5171	3.93336	7.31064	3.23149	1.79464	0.59894	0.53357	0.56459	0.90401	0.17298	0.0	0.12714	0.23773	0.0	0.0	0.0	0.0	0.0
GGB56405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17114	0.50734	0.22777	0.31186	0.0	0.0	0.0	0.0	0.0
GGB84831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00779	0.02151	0.03627	0.02943	0.17073	0.05594	0.14515	0.19495	0.0	0.0	0.00397	0.00458	0.0
GGB81665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16682	0.0	0.26503	0.01689	0.0	0.0	0.0	0.0	0.0
GGB34074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16522	0.07725	0.49608	0.16593	0.0	0.0	0.0	0.0	0.0
GGB50174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16279	0.16985	0.05737	0.0	0.0	0.0	0.0	0.0	0.0
GGB81891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16195	0.15548	0.06779	0.491	0.0	0.0	0.0	0.0	0.0
GGB81840	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16158	0.00888	0.07398	0.08331	0.0	0.0	0.0	0.0	0.0
GGB81661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16147	0.05347	0.00403	0.0778	0.0	0.0	0.0	0.0	0.0
GGB56403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15042	0.05855	0.10701	0.08741	6.52373	1.5007	4.03618	2.05676	0.0
Microbacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01564	0.0	0.0	0.0	0.14734	0.14585	0.23818	0.08042	0.0	0.0	0.0	0.0	0.0
GGB70895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1438	0.44682	0.16635	0.04431	0.05893	0.0	0.0	0.0	0.0
GGB61858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14247	0.21983	0.24521	1.60042	0.0	0.0	0.0	0.0	0.0
GGB84840	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13864	0.0725	0.14072	0.26161	0.0	0.0	0.0	0.0	0.0
GGB84362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13497	0.0	0.06306	0.26306	0.0	0.0	0.0	0.0	0.0
GGB82377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13139	0.0	0.11736	0.0	0.0	0.0	0.0	0.0	0.0
GGB35308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12947	0.00806	0.21081	0.04952	4.53641	1.51325	0.49299	0.87683	0.0
GGB82749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12912	0.07068	0.0979	0.03337	0.0	0.0	0.0	0.0	0.0
GGB57952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12907	0.00472	0.17315	0.23147	0.0	0.01008	0.00098	0.0	0.0
GGB51809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12764	0.05113	1.2459	0.32096	0.0	0.0	0.0	0.0	0.0
GGB56397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12728	0.4038	0.08946	0.05006	0.0	0.0	0.0	0.0	0.0
GGB41452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12179	0.41035	0.00642	0.28257	0.0	0.0	0.0	0.0	0.0
GGB83334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12167	0.01284	0.03718	0.0	0.0	0.0	0.0	0.0	0.0
GGB81670	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11672	0.54554	0.78065	0.00675	0.0	0.0	0.0	0.0	0.0
GGB84418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11596	0.03441	0.08266	0.13529	0.0	0.0	0.0	0.0	0.0
GGB81878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11532	0.00924	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB82183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11163	1.32584	0.53873	0.0	0.0	0.0	0.0	0.0	0.0
GGB82521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11135	0.0	0.1152	0.0	0.0	0.0	0.0	0.0	0.0
GGB82529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11046	0.37134	0.0	0.06757	0.10518	0.0	0.0	0.0	0.0
GGB84864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1074	0.0	0.10101	0.26681	0.0	0.0	0.0	0.0	0.0
