Contig	GS	EFP	BM	GN	EK	EHH
BM1_k141_1049841	0	0	1	0	0	0
BM1_k141_1049902	0	0	1	0	0	0
BM1_k141_1049922	0	0	1	0	0	0
BM1_k141_1049938	0	0	1	0	0	0
BM1_k141_1050012	0	0	1	0	0	0
BM1_k141_1050165	0	0	1	0	0	0
BM1_k141_1050208	0	0	1	0	0	0
BM1_k141_1050454	0	0	1	0	0	0
BM1_k141_1050791	0	0	1	0	0	0
BM1_k141_1050821	0	0	1	0	0	0
BM1_k141_1050953	0	0	1	0	0	0
BM1_k141_1051211	0	0	1	0	0	0
BM1_k141_1051324	0	0	1	0	0	0
BM1_k141_1051339	0	0	1	0	0	0
BM1_k141_1051541	0	0	1	0	0	0
BM1_k141_1051704	0	0	1	0	0	0
BM1_k141_1051727	0	0	1	0	0	0
BM1_k141_1051784	0	0	1	0	0	0
BM1_k141_1051967	0	0	1	0	0	0
BM1_k141_1052038	0	0	1	0	0	0
BM1_k141_1052404	0	0	1	0	0	0
BM1_k141_1052509	0	0	1	0	0	0
BM1_k141_1052553	0	0	1	0	0	0
BM1_k141_1052607	0	0	1	0	0	0
BM1_k141_1052647	0	0	1	0	0	0
BM1_k141_1052832	0	0	1	0	0	0
BM1_k141_1053062	0	0	1	0	0	0
BM1_k141_1053325	0	0	1	0	0	0
BM1_k141_1053390	0	0	1	0	0	0
BM1_k141_1053494	0	0	1	0	0	0
BM1_k141_1053497	0	0	1	0	0	0
BM1_k141_1053531	0	0	1	0	0	0
BM1_k141_1053841	0	0	1	0	0	0
BM1_k141_1053929	0	0	1	0	0	0
BM1_k141_1054144	0	0	1	0	0	0
BM1_k141_1054230	0	0	1	0	0	0
BM1_k141_1054253	0	0	1	0	0	0
BM1_k141_1054267	0	0	1	0	0	0
BM1_k141_1054290	0	0	1	0	0	0
BM1_k141_1054373	0	0	1	0	0	0
BM1_k141_1054499	0	0	1	0	0	0
BM1_k141_1054536	0	0	1	0	0	0
BM1_k141_1054859	0	0	1	0	0	0
BM1_k141_105487	0	0	1	0	0	0
BM1_k141_1054878	0	0	1	0	0	0
BM1_k141_1054958	0	0	1	0	0	0
BM1_k141_1054988	0	0	1	0	0	0
BM1_k141_1054992	0	0	1	0	0	0
BM1_k141_1055044	0	0	1	0	0	0
BM1_k141_1055091	0	0	1	0	0	0
BM1_k141_1055229	0	0	1	0	0	0
BM1_k141_1055430	0	0	1	0	0	0
BM1_k141_1055710	0	0	1	0	0	0
BM1_k141_1055861	0	0	1	0	0	0
BM1_k141_1055981	0	0	0	0	0	0
BM1_k141_1055986	0	0	1	0	0	0
BM1_k141_1056046	0	0	1	0	0	0
BM1_k141_105631	0	0	1	0	0	0
BM1_k141_1056365	0	0	1	0	0	0
BM1_k141_1056405	0	0	1	0	0	0
BM1_k141_1056406	0	0	1	0	0	0
BM1_k141_1056433	0	0	1	0	0	0
BM1_k141_1056439	0	0	1	0	0	0
BM1_k141_105663	0	0	1	0	0	0
BM1_k141_1056733	0	0	1	0	0	0
BM1_k141_1056751	0	0	1	0	0	0
BM1_k141_1056821	0	0	1	0	0	0
BM1_k141_1056910	0	0	1	0	0	0
BM1_k141_1056978	0	0	1	0	0	0
BM1_k141_1056984	0	0	1	0	0	0
BM1_k141_1057051	0	0	1	0	0	0
BM1_k141_1057108	0	0	1	0	0	0
BM1_k141_105728	0	0	1	0	0	0
BM1_k141_105759	0	0	1	0	0	0
BM1_k141_1057608	0	0	1	0	0	0
BM1_k141_1057632	0	0	1	0	0	0
BM1_k141_1057702	0	0	1	0	0	0
BM1_k141_105774	0	0	1	0	0	0
BM1_k141_1058216	0	0	1	0	0	0
BM1_k141_1058262	0	0	1	0	0	0
BM1_k141_1058412	0	0	1	0	0	0
BM1_k141_1058507	0	0	1	0	0	0
BM1_k141_1058567	0	0	1	0	0	0
BM1_k141_1058878	0	0	1	0	0	0
BM1_k141_1059157	0	0	1	0	0	0
BM1_k141_1059457	0	0	1	0	0	0
BM1_k141_1059534	0	0	1	0	0	0
BM1_k141_1059583	0	0	1	0	0	0
BM1_k141_1059602	0	0	1	0	0	0
BM1_k141_1059654	0	0	1	0	0	0
BM1_k141_1059667	0	0	1	0	0	0
BM1_k141_1059705	0	0	1	0	0	0
BM1_k141_1059840	0	0	1	0	0	0
BM1_k141_1059865	0	0	1	0	0	0
BM1_k141_1059915	0	0	1	0	0	0
BM1_k141_1059951	0	0	1	0	0	0
BM1_k141_1060131	0	0	1	0	0	0
BM1_k141_106044	0	0	0	0	0	0
BM1_k141_1060454	0	0	1	0	0	0
BM1_k141_1060538	0	0	1	0	0	0
BM1_k141_1060703	0	0	1	0	0	0
BM1_k141_1060792	0	0	1	0	0	0
BM1_k141_1060845	0	0	1	0	0	0
BM1_k141_1061071	0	0	1	0	0	0
BM1_k141_1061125	0	0	1	0	0	0
BM1_k141_1061288	0	0	1	0	0	0
BM1_k141_1061346	0	0	1	0	0	0
BM1_k141_1061972	0	0	1	0	0	0
BM1_k141_1062140	0	0	1	0	0	0
BM1_k141_1062158	0	0	1	0	0	0
BM1_k141_1062361	0	0	1	0	0	0
BM1_k141_1062395	0	0	1	0	0	0
BM1_k141_1062405	0	0	1	0	0	0
BM1_k141_1062898	0	0	1	0	0	0
BM1_k141_1062935	0	0	1	0	0	0
BM1_k141_1062975	0	0	1	0	0	0
BM1_k141_1062990	0	0	1	0	0	0
BM1_k141_1063014	0	0	1	0	0	0
BM1_k141_1063122	0	0	1	0	0	0
BM1_k141_1063228	0	0	1	0	0	0
BM1_k141_1063249	0	0	1	0	0	0
BM1_k141_1063252	0	0	1	0	0	0
BM1_k141_1063325	0	0	1	0	0	0
BM1_k141_1063513	0	0	1	0	0	0
BM1_k141_1063627	0	0	1	0	0	0
BM1_k141_1063702	0	0	1	0	0	0
BM1_k141_1063792	0	0	1	0	0	0
BM1_k141_106382	0	0	1	0	0	0
BM1_k141_1064157	0	0	1	0	0	0
BM1_k141_1064205	0	0	1	0	0	0
BM1_k141_1064334	0	0	1	0	0	0
BM1_k141_1064545	0	0	1	0	0	0
BM1_k141_1064567	0	0	1	0	0	0
BM1_k141_1064615	0	0	1	0	0	0
BM1_k141_106478	0	0	1	0	0	0
BM1_k141_1064931	0	0	1	0	0	0
BM1_k141_1065237	0	0	1	0	0	0
BM1_k141_1065369	0	0	1	0	0	0
BM1_k141_1065897	0	0	1	0	0	0
BM1_k141_1066075	0	0	1	0	0	0
BM1_k141_1066153	0	0	1	0	0	0
BM1_k141_1066396	0	0	1	0	0	0
BM1_k141_1066477	0	0	1	0	0	0
BM1_k141_1066609	0	0	1	0	0	0
BM1_k141_1066613	0	0	1	0	0	0
BM1_k141_1066703	0	0	0	0	0	0
BM1_k141_1066777	0	0	1	0	0	0
BM1_k141_106678	0	0	1	0	0	0
BM1_k141_10668	0	0	1	0	0	0
BM1_k141_1066808	0	0	1	0	0	0
BM1_k141_1066890	0	0	1	0	0	0
BM1_k141_1066925	0	0	1	0	0	0
BM1_k141_1067064	0	0	1	0	0	0
BM1_k141_1067067	0	0	1	0	0	0
BM1_k141_1067076	0	0	1	0	0	0
BM1_k141_1067125	0	0	1	0	0	0
BM1_k141_1067141	0	0	1	0	0	0
BM1_k141_1067167	0	0	1	0	0	0
BM1_k141_1067401	0	0	1	0	0	0
BM1_k141_1067446	0	0	1	0	0	0
BM1_k141_1067622	0	0	1	0	0	0
BM1_k141_1067826	0	0	1	0	0	0
BM1_k141_1068104	0	0	1	0	0	0
BM1_k141_1068523	0	0	0	0	0	0
BM1_k141_1068535	0	0	1	0	0	0
BM1_k141_1068623	0	0	1	0	0	0
BM1_k141_1068654	0	0	0	0	0	0
BM1_k141_1068666	0	0	1	0	0	0
BM1_k141_1068689	0	0	1	0	0	0
BM1_k141_1068788	0	0	1	0	0	0
BM1_k141_1068835	0	0	1	0	0	0
BM1_k141_1068915	0	0	0	0	0	0
BM1_k141_1069086	0	0	1	0	0	0
BM1_k141_1069335	0	0	1	0	0	0
BM1_k141_1070092	0	0	1	0	0	0
BM1_k141_1070123	0	0	1	0	0	0
BM1_k141_1070579	0	0	1	0	0	0
BM1_k141_1070667	0	0	1	0	0	0
BM1_k141_1070675	0	0	0	0	0	0
BM1_k141_1070969	0	0	1	0	0	0
BM1_k141_1071197	0	0	1	0	0	0
BM1_k141_1071831	0	0	1	0	0	0
BM1_k141_107215	0	0	1	0	0	0
BM1_k141_107231	0	0	1	0	0	0
BM1_k141_1072522	0	0	1	0	0	0
BM1_k141_1072777	0	0	1	0	0	0
BM1_k141_1072930	0	0	1	0	0	0
BM1_k141_1072996	0	0	1	0	0	0
BM1_k141_1073017	0	0	1	0	0	0
BM1_k141_107304	0	0	1	0	0	0
BM1_k141_1073252	0	0	1	0	0	0
BM1_k141_1073254	0	0	1	0	0	0
BM1_k141_1073351	0	0	1	0	0	0
BM1_k141_1073358	0	0	1	0	0	0
BM1_k141_1073372	0	0	1	0	0	0
BM1_k141_1073649	0	0	1	0	0	0
BM1_k141_107373	0	0	1	0	0	0
BM1_k141_1073861	0	0	1	0	0	0
BM1_k141_1074090	0	0	1	0	0	0
BM1_k141_1074210	0	0	1	0	0	0
BM1_k141_1074254	0	0	1	0	0	0
BM1_k141_1074383	0	0	1	0	0	0
BM1_k141_1074446	1	0	1	0	0	0
BM1_k141_1074545	0	0	1	0	0	0
BM1_k141_1074624	0	0	1	0	0	0
BM1_k141_1074669	0	0	0	0	0	0
BM1_k141_1074675	0	0	1	0	0	0
BM1_k141_1074897	0	0	1	0	0	0
BM1_k141_1075035	0	0	1	0	0	0
BM1_k141_107537	0	0	1	0	0	0
BM1_k141_1075460	0	0	1	0	0	0
BM1_k141_1075685	0	0	1	0	0	0
BM1_k141_1075792	0	0	1	0	0	0
BM1_k141_1075834	0	0	1	0	0	0
BM1_k141_1076113	0	0	1	0	0	0
BM1_k141_1076171	0	0	1	0	0	0
BM1_k141_1076456	0	0	1	0	0	0
BM1_k141_1076517	0	0	1	0	0	0
BM1_k141_1076532	0	0	1	0	0	0
BM1_k141_1076537	0	0	1	0	0	0
BM1_k141_1076652	0	0	1	0	0	0
BM1_k141_1076653	0	0	1	0	0	0
BM1_k141_1076680	0	0	1	0	0	0
BM1_k141_1076758	0	0	1	0	0	0
BM1_k141_1076767	0	0	1	0	0	0
BM1_k141_1076812	0	0	1	0	0	0
BM1_k141_107697	0	0	1	0	0	0
BM1_k141_1077001	0	0	1	0	0	0
BM1_k141_1077060	0	0	1	0	0	0
BM1_k141_1077150	0	0	1	0	0	0
BM1_k141_1077197	0	0	1	0	0	0
BM1_k141_1077378	0	0	1	0	0	0
BM1_k141_1077551	0	0	1	0	0	0
BM1_k141_1077582	0	0	1	0	0	0
BM1_k141_107771	0	0	1	0	0	0
BM1_k141_107780	0	0	1	0	0	0
BM1_k141_1077828	0	0	1	0	0	0
BM1_k141_1077881	0	0	1	0	0	0
BM1_k141_1078243	0	0	1	0	0	0
BM1_k141_1078298	0	0	1	0	0	0
BM1_k141_1078464	0	0	1	0	0	0
BM1_k141_1078606	0	0	1	0	0	0
BM1_k141_107868	0	0	1	0	0	0
BM1_k141_1079099	0	0	1	0	0	0
BM1_k141_1079241	0	0	1	0	0	0
BM1_k141_1079271	0	0	1	0	0	0
BM1_k141_1079396	0	0	1	0	0	0
BM1_k141_1079418	0	0	1	0	0	0
BM1_k141_1079689	0	0	1	0	0	0
BM1_k141_1079892	0	0	1	0	0	0
BM1_k141_1079983	0	0	1	0	0	0
BM1_k141_1080066	0	0	1	0	0	0
BM1_k141_1080122	0	0	1	0	0	0
BM1_k141_1080156	0	0	1	0	0	0
BM1_k141_1080185	0	0	1	0	0	0
BM1_k141_108040	0	0	1	0	0	0
BM1_k141_1080467	0	0	1	0	0	0
BM1_k141_1080477	0	0	1	0	0	0
BM1_k141_1080487	0	0	1	0	0	0
BM1_k141_1080574	0	0	1	0	0	0
BM1_k141_1080591	0	0	1	0	0	0
BM1_k141_1080793	0	0	1	0	0	0
BM1_k141_1080978	0	0	0	0	0	0
BM1_k141_1081230	0	0	1	0	0	0
BM1_k141_1081442	0	0	1	0	0	0
BM1_k141_1081537	0	0	1	0	0	0
BM1_k141_1081556	0	0	1	0	0	0
BM1_k141_1081631	0	0	1	0	0	0
BM1_k141_1081891	0	0	1	0	0	0
BM1_k141_1081897	0	0	1	0	0	0
BM1_k141_1082065	0	0	1	0	0	0
BM1_k141_108218	0	0	1	0	0	0
BM1_k141_1082414	0	0	1	0	0	0
BM1_k141_1082513	0	0	1	0	0	0
BM1_k141_1082582	0	0	1	0	0	0
BM1_k141_1082808	0	0	1	0	0	0
BM1_k141_1083142	0	0	1	0	0	0
BM1_k141_1083158	0	0	1	0	0	0
BM1_k141_1083218	0	0	1	0	0	0
BM1_k141_1083583	0	0	1	0	0	0
BM1_k141_1083663	0	0	1	0	0	0
BM1_k141_1084126	0	0	1	0	0	0
BM1_k141_1084469	0	0	1	0	0	0
BM1_k141_1084604	0	0	1	0	0	0
BM1_k141_1084649	0	0	1	0	0	0
BM1_k141_1084906	0	0	1	0	0	0
