clade_name	EFP1	EFP2	EFP3	EFP4	EK1	EK2	EK3	EK4	EHH1	EHH2	EHH3	EHH4	BM1	BM2	BM3	BM4	GS1	GS2	GS3	GS4	GN1
OFGB4598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01662	0.00584	0.01114	0.00744	0.0	0.00573	0.01619	0.0	0.0
OFGB3054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01523	0.02036	0.01861	0.00396	0.0	0.0	0.0	0.0	0.0
OFGB9912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01497	0.04939	0.02425	0.01493	0.0	0.0	0.0	0.0	0.0
Candidatus_Nanosyncoccales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01463	0.14396	0.0202	0.01084	0.0	0.0	0.0	0.0	0.0
OFGB79290	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01411	0.01019	0.01038	0.01389	0.0	0.00182	0.00092	0.00093	0.0
OFGB58278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01388	0.16511	0.03874	0.0	0.37583	0.76463	2.55053	0.62312	0.0
OFGB88474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0137	0.6663	0.02791	0.01874	0.0	0.13194	0.5973	1.19435	0.0
OFGB73248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01218	0.01562	0.0	0.02055	0.13678	0.0	0.0	0.0	0.0
OFGB78155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0116	0.0	0.03302	0.0107	0.0	0.01004	0.0	0.0	0.0
OFGB77567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01155	0.02303	0.01585	0.00343	0.0	0.0	0.0	0.0	0.0
