Contig	EFP1	EFP2	EFP3	EFP4	EK1	EK2	EK3	EK4	EHH1	EHH2	EHH3	EHH4	BM1	BM2	BM3	BM4	GS1	GS2	GS3	GS4	GN1
BM1_k141_101201	0	0	0	0	0	0	0	0	0	0	0	0	8	0	6	0	0	0	0	0	0
BM1_k141_10121	0	0	0	0	0	0	0	0	0	0	0	0	451	411	3	0	0	0	0	0	0
BM1_k141_1012160	0	0	0	0	0	0	0	0	0	0	0	0	39	4	36	27	0	0	0	0	0
BM1_k141_1012176	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0
BM1_k141_1012816	0	0	0	0	0	0	0	0	0	0	0	0	4	8	16	5	0	0	0	0	0
BM1_k141_101332	0	0	0	0	0	0	0	0	0	0	0	0	6	1	8	14	0	0	0	0	0
BM1_k141_101339	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	4	0	0	0	0	0
BM1_k141_1013989	0	0	0	0	0	0	0	0	0	0	0	0	15	0	8	162	0	0	0	0	0
BM1_k141_10140	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
BM1_k141_101424	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	4	0	0	0	0	0
BM1_k141_1014243	0	0	0	0	0	0	0	0	0	0	0	0	10	0	19	0	0	0	0	0	0
BM1_k141_1014380	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0
BM1_k141_1014417	0	0	0	0	0	0	0	0	0	0	0	0	16	7	4	2	0	0	0	0	0
BM1_k141_1014444	0	0	0	0	0	0	0	0	0	0	0	0	17	2	0	0	0	0	0	0	0
BM1_k141_1014487	0	0	0	0	0	0	0	0	0	0	0	0	16	0	11	14	0	0	0	0	0
BM1_k141_1014492	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
BM1_k141_1014561	0	0	0	0	0	0	0	0	0	0	0	0	28	3	7	2	0	0	0	0	0
BM1_k141_1014562	0	0	0	0	0	0	0	0	0	0	0	0	142	65	21	46	0	0	0	0	0
BM1_k141_1014951	0	0	0	0	0	0	0	0	0	0	0	0	13	6	5	3	0	0	0	0	0
BM1_k141_1015020	0	0	0	0	0	0	0	0	0	0	0	0	72	2	110	46	0	0	0	0	0
BM1_k141_1015072	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0
BM1_k141_1015130	0	0	0	0	0	0	0	0	0	0	0	0	15	1	0	0	0	0	0	0	0
BM1_k141_1015858	0	0	0	0	0	0	0	0	0	0	0	0	118	101	0	0	0	0	0	0	0
BM1_k141_1015960	0	0	0	0	0	0	0	0	0	0	0	0	28	5	2	4	0	0	0	0	0
BM1_k141_1015976	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0
BM1_k141_1016247	0	0	0	0	0	0	0	0	0	0	0	0	13	1	0	0	0	0	0	0	0
BM1_k141_1016298	0	0	0	0	0	0	0	0	0	0	0	0	7	1	1	0	0	0	0	0	0
BM1_k141_1016303	0	0	0	0	0	0	0	0	0	0	0	0	23	0	4	47	0	0	0	0	0
BM1_k141_1016549	0	0	0	0	0	0	0	0	0	0	0	0	23	4	7	0	0	0	0	0	0
BM1_k141_1016587	0	0	0	0	0	0	0	0	0	0	0	0	26	0	5	8	0	0	0	0	0
BM1_k141_101668	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0
BM1_k141_1016799	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	2	0	0	0	0	0
BM1_k141_1016998	0	0	0	0	0	0	0	0	0	0	0	0	10	1	4	0	0	0	0	0	0
BM1_k141_1017134	0	0	0	0	0	0	0	0	0	0	0	0	14	6	2	1	0	0	0	0	0
BM1_k141_1017281	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0
BM1_k141_1017343	0	0	0	0	0	0	0	0	0	0	0	0	20	18	3	4	0	0	0	0	0
BM1_k141_1017563	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
BM1_k141_1017691	0	0	0	0	0	0	0	0	0	0	0	0	21	0	17	25	0	0	0	0	0
BM1_k141_1017763	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0
BM1_k141_1018113	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	0	0	0	0	0	0
BM1_k141_1018236	0	0	0	0	0	0	0	0	0	0	0	0	14	4	12	20	0	0	0	0	0
BM1_k141_1018253	0	0	0	0	0	0	0	0	0	0	0	0	17	4	2	3	0	0	0	0	0
