clade_name	EFP1	EFP2	EFP3	EFP4	EK1	EK2	EK3	EK4	EHH1	EHH2	EHH3	EHH4	BM1	BM2	BM3	BM4	GS1	GS2	GS3	GS4	GN1
GGB82863_SGB213348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54658	0.14846	0.10471	0.07425	0.0	0.0	0.0	0.0	0.0
GGB81846_SGB112486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54283	0.01519	0.41487	0.41129	0.0	0.0	0.0	0.0	0.0
GGB84425_SGB120103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53433	0.0256	0.33015	1.05522	0.0	0.0	0.0	0.0	0.0
GGB82250_SGB113754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53059	0.01126	0.16618	0.10532	0.0	0.0	0.0	0.0	0.0
GGB81965_SGB113158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52657	0.79115	0.32474	0.62828	0.0	0.0	0.0	0.0	0.0
GGB34404_SGB73808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52381	0.12831	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB81894_SGB112365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52267	0.0	0.03662	0.0	0.0	0.0	0.0	0.0	0.0
GGB81717_SGB112962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51928	0.47697	0.3484	0.4523	0.0	0.0	0.0	0.0	0.0
GGB58482_SGB80140	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51127	0.28953	0.20338	0.2357	0.0	0.0	0.0	0.0	0.0
GGB112676_SGB58512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.50295	0.11375	0.24123	5.29544	0.0	0.0	0.0	0.0	0.0
GGB53080_SGB114532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49314	0.31768	1.05156	0.44413	0.0	0.0	0.0	0.0	0.0
GGB66982_SGB111871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48523	0.19919	0.57694	1.77489	0.0	0.0	0.0	0.0	0.0
GGB61862_SGB114734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48505	0.0	0.45485	0.6051	0.0	0.0	0.0	0.0	0.0
GGB74363_SGB113768	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48307	0.0	0.36838	0.40184	0.0	0.0	0.0	0.0	0.0
GGB81856_SGB112430	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48227	0.10522	0.18976	4.26043	0.0	0.0	0.0	0.0	0.0
GGB56398_SGB113691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47475	1.36602	0.6374	0.26081	0.0	0.0	0.0	0.0	0.0
GGB81880_SGB112591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46013	0.50238	0.0	0.26497	0.0	0.0	0.0	0.0	0.0
GGB81890_SGB112343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45181	0.09426	0.47196	0.41953	0.0	0.0	0.0	0.0	0.0
GGB83312_SGB116905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44569	0.06051	0.16338	0.33771	0.0	0.0	0.0	0.0	0.0
GGB40324_SGB48413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43278	0.07747	0.76766	0.8173	0.0	0.0	0.0	0.0	0.0
GGB81958_SGB113178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42918	0.08073	0.40678	0.68565	0.0	0.0	0.0	0.0	0.0
GGB84464_SGB120798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42139	0.0	0.1657	0.0	0.0	0.07478	0.0	0.0	0.0
GGB35775_SGB112539	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41762	2.35039	0.38543	0.69141	0.0	0.0	0.0	0.0	0.0
GGB50180_SGB70246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41439	0.36789	1.16634	0.63355	0.0	0.0	0.0	0.0	0.0
GGB82235_SGB113789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41076	1.90396	0.19266	1.00776	0.0	0.0	0.0	0.0	0.0
GGB61640_SGB114905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40015	0.10049	0.4446	0.17796	0.0	0.0	0.0	0.0	0.0
GGB81794_SGB113052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39783	0.3971	0.33352	0.16384	0.0	0.0	0.0	0.0	0.0
GGB81705_SGB112956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37017	0.11378	0.36044	0.44153	0.0	0.0	0.0	0.0	0.0
